csi_rs_period_ms,detector,handover_count,mean_csi_overhead,mean_ctrl_overhead,mean_data_fraction,mean_dl_available_fraction,mean_mcs_index,mean_sensing_candidate_beams_when_used,mean_sinr_db,mean_ssb_overhead,mean_system_rate_bps,mean_system_rate_delta_vs_baseline_bps,mean_system_rate_delta_vs_baseline_percent,mean_tbler,mean_ue_rate_when_scheduled_bps,outage_fraction,p05_mcs_index,p05_sinr_db,p05_system_rate_bps,p05_ue_rate_when_scheduled_bps,sensing_fallback_fraction,sensing_gate_rejected_fraction,sensing_hint_usage_fraction,source,weather_id
5.0,cross_agent_multimodal,25,0.01746843434343434,0.09870129870129872,0.6675324675324674,0.7714285714285715,-1.0,3.5933738437125053,14.674953198701711,0.005194805194805195,5087008251.571343,0.0,0.0,0.0,350135445.6564951,0.006184212355910286,-1.0,-5.823326110839844,0.0,22373238.85614222,0.1844381313131313,0.010342053855287853,0.8155618686868686,core/sensing_imm,clear_day
5.0,single_station_multimodal,25,0.017429277898027895,0.09870129870129872,0.6675324675324674,0.7714285714285715,-1.0,3.562195022771633,14.022996222973523,0.005194805194805195,4925816579.306967,-161191672.26437664,-3.168692958470936,0.0,338492103.1438572,0.008167199838269832,-1.0,-6.734103679656982,0.0,18571839.38676661,0.22373737373737373,0.043559427504667084,0.7762626262626262,modality_ablation,clear_day
5.0,camera_only,25,0.018072014790764788,0.09870129870129872,0.6675324675324674,0.7714285714285715,-1.0,3.7270835085358676,13.065242120539475,0.005194805194805195,4684175260.221397,-402832991.349946,-7.918858618432819,0.0,324771103.0966721,0.012318983946451988,-1.0,-10.393962860107422,0.0,8428495.174104517,0.24930555555555556,0.011225677698320306,0.7506944444444444,modality_ablation,clear_day
5.0,isac_only,25,0.017786044973544968,0.09870129870129872,0.6675324675324674,0.7714285714285715,-1.0,3.6355227445445664,13.340408096319655,0.005194805194805195,4757394413.562278,-329613838.0090656,-6.479522377563474,0.0,328873101.95029914,0.009716440877831379,-1.0,-9.47476863861084,0.0,10315154.709599234,0.2731218434343434,0.017912357394178485,0.7268781565656566,modality_ablation,clear_day
5.0,cross_agent_multimodal,39,0.01793718434343434,0.09870129870129872,0.6675324675324674,0.7714285714285715,-1.0,3.650989748192942,12.021948907233432,0.005194805194805195,4689640067.531769,0.0,0.0,0.0,321614580.95621717,0.017021125522682853,-1.0,-14.471383094787598,0.0,3374279.087240046,0.3318497474747475,0.037294765088461364,0.6681502525252525,core/sensing_imm,rain_fog_day
5.0,single_station_multimodal,39,0.017688266594516586,0.09870129870129872,0.6675324675324674,0.7714285714285715,-1.0,3.6017658197190543,11.965768933005668,0.005194805194805195,4723435327.510388,33795259.978619576,0.7206365412262129,0.0,323034638.673051,0.019696598127225688,-1.0,-14.858480453491211,0.0,3091288.527304476,0.28317550505050504,0.019007300531340445,0.716824494949495,modality_ablation,rain_fog_day
5.0,camera_only,39,0.018606225949975946,0.09870129870129872,0.6675324675324674,0.7714285714285715,-1.0,3.8455449189985274,11.775085521423259,0.005194805194805195,4593703261.07366,-95936806.4581089,-2.045717903220704,0.0,317999759.0030129,0.027945280672113198,-1.0,-15.45257568359375,0.0,2701116.895133799,0.3998737373737374,0.034531789559211865,0.6001262626262627,modality_ablation,rain_fog_day
5.0,isac_only,39,0.017922303391053388,0.09870129870129872,0.6675324675324674,0.7714285714285715,-1.0,3.599062792877226,12.586130387063912,0.005194805194805195,4814403373.467361,124763305.93559265,2.660402592501252,0.0,330722094.3944884,0.015093665378937561,-1.0,-14.194713592529297,0.0,3591478.8937026802,0.4105902777777778,0.04695674365190762,0.5894097222222222,modality_ablation,rain_fog_day
5.0,cross_agent_multimodal,31,0.018393759018759018,0.09870129870129872,0.6675324675324674,0.7714285714285715,-1.0,3.5751953125,10.693200976488384,0.005194805194805195,4164642528.003943,0.0,0.0,0.0,290874182.7030162,0.019077392500617303,-1.0,-13.566060066223145,0.0,4142289.0600833027,0.6767676767676768,0.5677409822917326,0.32323232323232326,core/sensing_imm,night
5.0,single_station_multimodal,31,0.018766534391534386,0.09870129870129872,0.6675324675324674,0.7714285714285715,-1.0,3.76885043263288,10.616865439349379,0.005194805194805195,4146024426.8179207,-18618101.18602228,-0.4470516031287249,0.0,290820241.43475276,0.02316269595252856,-1.0,-14.744241714477539,0.0,3176738.165996291,0.7446338383838383,0.6754458106834093,0.2553661616161616,modality_ablation,night
5.0,camera_only,31,0.01897246272246272,0.09870129870129872,0.6675324675324674,0.7714285714285715,-1.0,3.818840579710145,10.302811125472854,0.005194805194805195,4053458046.484494,-111184481.51944876,-2.669724490681268,0.0,285018890.3028978,0.02279644163500124,-1.0,-14.732178688049316,0.0,3186400.9526642887,0.9128787878787878,0.8724554633887105,0.08712121212121213,modality_ablation,night
5.0,isac_only,31,0.018679353054353053,0.09870129870129872,0.6675324675324674,0.7714285714285715,-1.0,3.5,10.494051984705461,0.005194805194805195,4110307595.573452,-54334932.43049097,-1.3046721793078593,0.0,287104546.918859,0.020844725098336653,-1.0,-14.109508514404297,0.0,3667187.3046593233,0.8453282828282829,0.7513573857005125,0.15467171717171718,modality_ablation,night
